response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,region,turnout_class,phone_type
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,South,Less than 50 percent,Landline
Rep,18 to 34,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),South,Less than 50 percent,Landline
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),South,50 to 85 percent,Landline
Und,35 to 49,High school,White,Female,White,Approve,Don't know,Unfavorable,Don't know,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),North,Less than 50 percent,Cell
Dem,65 and older,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,South,50 to 85 percent,Landline
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,[DO NOT READ] Refused,Charlottesville,50 to 85 percent,Cell
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,South,50 to 85 percent,Cell
Dem,50 to 64,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,Charlottesville,Less than 50 percent,Cell
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),South,85 percent or higher,Cell
Dem,35 to 49,High school,Hispanic,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),South,Less than 50 percent,Cell
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,North,Less than 50 percent,Landline
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,South,85 percent or higher,Cell
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),South,85 percent or higher,Landline
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),North,50 to 85 percent,Cell
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,North,Less than 50 percent,Cell
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,South,Less than 50 percent,Cell
Und,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,Charlottesville,85 percent or higher,Landline
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Cell
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,South,85 percent or higher,Cell
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Charlottesville,85 percent or higher,Cell
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),Charlottesville,Less than 50 percent,Landline
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Cell
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Charlottesville,85 percent or higher,Cell
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),South,85 percent or higher,Cell
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),South,85 percent or higher,Cell
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,South,Less than 50 percent,Landline
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),North,50 to 85 percent,Cell
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,South,85 percent or higher,Cell
Rep,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,or as a member of another political party,Charlottesville,85 percent or higher,Landline
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Cell
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),South,Less than 50 percent,Cell
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Charlottesville,50 to 85 percent,Cell
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Charlottesville,50 to 85 percent,Cell
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Charlottesville,85 percent or higher,Landline
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),North,50 to 85 percent,Landline
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,South,85 percent or higher,Landline
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),Charlottesville,50 to 85 percent,Landline
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,South,50 to 85 percent,Landline
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,South,85 percent or higher,Landline
Dem,18 to 34,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Other,Male,Very likely,Independent (No party),South,Less than 50 percent,Landline
Und,50 to 64,High school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),North,50 to 85 percent,Cell
Und,35 to 49,Bachelors' degree,Black,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,South,Less than 50 percent,Landline
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),North,Less than 50 percent,Cell
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Dems. take House,Unfavorable,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),South,50 to 85 percent,Cell
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),South,50 to 85 percent,Cell
Und,18 to 34,Some college or trade school,Black,Female,White,Approve,Don't know,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),South,50 to 85 percent,Cell
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),South,85 percent or higher,Cell
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Republican,Female,Almost certain,Democrat,North,50 to 85 percent,Cell
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,South,85 percent or higher,Cell
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Somewhat likely,Republican,North,Less than 50 percent,Cell
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,South,85 percent or higher,Cell
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Not very likely,Republican,South,Less than 50 percent,Cell
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,South,50 to 85 percent,Cell
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,North,50 to 85 percent,Cell
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,South,85 percent or higher,Cell
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),North,Less than 50 percent,Cell
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Charlottesville,Less than 50 percent,Landline
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),South,50 to 85 percent,Cell
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Don't know,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),South,85 percent or higher,Landline
Und,[DO NOT READ] Refused,High school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),Charlottesville,Less than 50 percent,Landline
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Don't know,Unfavorable,Don't know,30 to 44,Some College Educ.,Other,Female,Not very likely,Republican,South,50 to 85 percent,Cell
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,South,50 to 85 percent,Landline
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,South,85 percent or higher,Landline
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Charlottesville,Less than 50 percent,Cell
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,Charlottesville,Less than 50 percent,Cell
Und,65 and older,High school,Unknown,Female,Black,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,[DO NOT READ] Refused,South,50 to 85 percent,Landline
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,South,50 to 85 percent,Landline
Dem,65 and older,Grade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,South,50 to 85 percent,Landline
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,North,85 percent or higher,Landline
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Charlottesville,85 percent or higher,Cell
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,South,Less than 50 percent,Landline
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,South,85 percent or higher,Landline
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),South,50 to 85 percent,Cell
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,North,50 to 85 percent,Landline
Rep,65 and older,Grade school,Other,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Not very likely,Republican,South,50 to 85 percent,Landline
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,North,50 to 85 percent,Landline
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,North,85 percent or higher,Landline
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,South,Less than 50 percent,Landline
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,South,85 percent or higher,Landline
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,South,85 percent or higher,Landline
Rep,50 to 64,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,South,85 percent or higher,Landline
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),South,50 to 85 percent,Landline
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,South,50 to 85 percent,Landline
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,South,85 percent or higher,Cell
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,South,85 percent or higher,Landline
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Democrat,North,85 percent or higher,Landline
Dem,18 to 34,High school,White,Female,White,Approve,Dems. take House,Favorable,Don't know,18 to 29,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),South,Less than 50 percent,Landline
Dem,50 to 64,Some college or trade school,Black,Female,Black,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,South,50 to 85 percent,Cell
Und,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,South,85 percent or higher,Cell
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,South,50 to 85 percent,Cell
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),South,85 percent or higher,Cell
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),North,Less than 50 percent,Landline
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,North,85 percent or higher,Cell
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,Charlottesville,85 percent or higher,Landline
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),North,50 to 85 percent,Landline
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Charlottesville,85 percent or higher,Landline
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,South,50 to 85 percent,Landline
Dem,65 and older,Grade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,South,50 to 85 percent,Landline
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,South,85 percent or higher,Cell
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,South,85 percent or higher,Landline
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Charlottesville,85 percent or higher,Cell
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,South,50 to 85 percent,Cell
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,Charlottesville,50 to 85 percent,Landline
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,North,50 to 85 percent,Cell
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,North,85 percent or higher,Cell
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Charlottesville,50 to 85 percent,Cell
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),South,Less than 50 percent,Landline
Und,65 and older,High school,Black,Female,Black,Don't know,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,[DO NOT READ] Refused,South,50 to 85 percent,Landline
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Landline
Rep,50 to 64,Graduate or Professional Degree,Black,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,North,Less than 50 percent,Landline
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),South,50 to 85 percent,Cell
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,or as a member of another political party,South,50 to 85 percent,Landline
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,South,Less than 50 percent,Landline
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,Charlottesville,Less than 50 percent,Landline
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),South,85 percent or higher,Landline
Dem,65 and older,High school,Black,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Landline
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,South,85 percent or higher,Cell
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),South,Less than 50 percent,Landline
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),South,50 to 85 percent,Landline
Rep,35 to 49,Some college or trade school,Other,Male,White,Don't know,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,South,85 percent or higher,Cell
Dem,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,Charlottesville,85 percent or higher,Cell
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Landline
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),South,85 percent or higher,Landline
Und,65 and older,[DO NOT READ] Refused,Black,Female,Black,Approve,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,[DO NOT READ] Refused,South,50 to 85 percent,Landline
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),Charlottesville,50 to 85 percent,Landline
Rep,18 to 34,Bachelors' degree,Black,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,South,50 to 85 percent,Cell
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),North,85 percent or higher,Cell
Rep,50 to 64,Bachelors' degree,Other,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,South,85 percent or higher,Landline
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Charlottesville,50 to 85 percent,Landline
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),South,50 to 85 percent,Cell
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Charlottesville,85 percent or higher,Landline
Und,18 to 34,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Female,Very likely,Independent (No party),South,Less than 50 percent,Cell
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),North,85 percent or higher,Cell
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,South,50 to 85 percent,Landline
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),North,50 to 85 percent,Cell
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,South,50 to 85 percent,Cell
Rep,35 to 49,Grade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Not very likely,Republican,South,Less than 50 percent,Cell
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,South,85 percent or higher,Landline
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),South,Less than 50 percent,Landline
Dem,18 to 34,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Independent (No party),North,Less than 50 percent,Landline
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Independent (No party),South,85 percent or higher,Landline
Rep,65 and older,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,South,50 to 85 percent,Landline
