characters/characterName,characters/characterLink,characters/actorName,characters/actorLink,characters/houseName/0,characters/royal,characters/parents/0,characters/parents/1,characters/siblings/0,characters/siblings/1,characters/killedBy/0,characters/characterImageThumb,characters/characterImageFull,characters/nickname,characters/killed/0,characters/killed/1,characters/servedBy/0,characters/servedBy/1,characters/parentOf/0,characters/parentOf/1,characters/parentOf/2,characters/marriedEngaged/0,characters/serves/0,characters/kingsguard,characters/killedBy/1,characters/siblings/2,characters/siblings/3,characters/killed/2,characters/killed/3,characters/killed/4,characters/killed/5,characters/killed/6,characters/killed/7,characters/killed/8,characters/killed/9,characters/killed/10,characters/killed/11,characters/killed/12,characters/killed/13,characters/guardedBy/0,characters/actors/0/actorName,characters/actors/0/actorLink,characters/actors/0/seasonsActive/0,characters/actors/1/actorName,characters/actors/1/actorLink,characters/actors/1/seasonsActive/0,characters/actors/0/seasonsActive/1,characters/actors/0/seasonsActive/2,characters/actors/0/seasonsActive/3,characters/serves/1,characters/serves/2,characters/serves/3,characters/houseName/1,characters/parentOf/3,characters/parentOf/4,characters/marriedEngaged/1,characters/actors/1/seasonsActive/1,characters/actors/1/seasonsActive/2,characters/killed/14,characters/killed/15,characters/servedBy/2,characters/servedBy/3,characters/servedBy/4,characters/servedBy/5,characters/guardedBy/1,characters/guardedBy/2,characters/guardianOf/0,characters/allies/0,characters/allies/1,characters/siblings/4,characters/killedBy/2,characters/actors/2/actorName,characters/actors/2/actorLink,characters/actors/2/seasonsActive/0,characters/actors/2/seasonsActive/1,characters/actors/2/seasonsActive/2,characters/actors/2/seasonsActive/3,characters/actors/2/seasonsActive/4,characters/guardianOf/1,characters/guardianOf/2,characters/parents/2,characters/killedBy/3,characters/abductedBy/0,characters/marriedEngaged/2,characters/abducted/0,characters/sibling/0,characters/sibling/1,characters/allies/2
Colen of Greenpools,/character/ch0350989/,Darren Killeen,/name/nm4007028/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craster,/character/ch0300218/,Robert Pugh,/name/nm0700059/,,,,,,,Karl Tanner,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daario Naharis,/character/ch0335040/,,,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,Mero,Prendahl na Ghezn,,,,,,,Daenerys Targaryen,,,,,Oznak zo Pahl,Mossador,Iggo,Akho,,,,,,,,,,Ed Skrein,/name/nm4534098/,3,Michiel Huisman,/name/nm0401264/,4,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daenerys Targaryen,/character/ch0158597/,Emilia Clarke,/name/nm3592338/,Targaryen,true,Aerys II Targaryen,Rhaella Targaryen,Rhaegar Targaryen,Viserys Targaryen,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1_SY1000_CR0,0,810,1000_AL_.jpg",,Khal Drogo,Mirri Maz Duur,Barristan Selmy,Daario Naharis,Rhaego,,,Khal Drogo,,,,,,Doreah,Xaro Xhoan Daxos,Khal Rhalko,Khal Brozho,Khal Qorro,Khal Forzho,Khal Moro,Dothraki Bloodrider #1,Dothraki Bloodrider #2,Randyll Tarly,Dickon Tarly,Eleanor,Drogon,,,,,,,,,,,,,,,,,,,Eleanor's Daughter,Lord Varys,Grey Worm,Jorah Mormont,Missandei,Tyrion Lannister,Rhaegal,Viserion,,,,,,,,,,,,,,,,,,,,,,
Dagmer Cleftjaw,/character/ch0304762/,Ralph Ineson,/name/nm0408591/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy,/character/ch0305015/,Maisie Dee,/name/nm3996678/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk2ODRhNzItOGZhNi00YTUyLThkMzctMDQ2Zjg5MzY1NTI2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk2ODRhNzItOGZhNi00YTUyLThkMzctMDQ2Zjg5MzY1NTI2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davos Seaworth,/character/ch0255396/,Liam Cunningham,/name/nm0192377/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1_.jpg,,,,,,Matthos Seaworth,,,,Stannis Baratheon,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickon Tarly,/character/ch0541363/,,,,,Randyll Tarly,Melessa Tarly,Samwell Tarly,Talla Tarly,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddie Stroma,/name/nm2238815/,6,Tom Hopper,/name/nm2584392/,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dongo the Giant,/character/ch0510932/,Ian Whyte,/name/nm1613839/,,,,,,,Night's Watchman,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnel Waynwood,/character/ch0544229/,Alisdair Simpson,/name/nm1368037/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontos Hollard,/character/ch0305031/,Tony Way,/name/nm0915453/,,,,,,,Petyr Baelish,https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doran Martell,/character/ch0468006/,Alexander Siddig,/name/nm0796502/,Martell,,,,Elia Martell,Oberyn Martell,Ellaria Sand,https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SY1000_CR0,0,913,1000_AL_.jpg",,,,,,Trystane Martell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doreah,/character/ch0248504/,Roxanne McKee,/name/nm1861467/,,,,,,,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNWJmNzYtZjFhYy00NmI5LWFkOWUtOWQ0ZjUzZDYwYjM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNWJmNzYtZjFhYy00NmI5LWFkOWUtOWQ0ZjUzZDYwYjM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,Irri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dothraki Bloodrider #1,/character/ch0542918/,Diogo Sales,/name/nm6088160/,,,,,,,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dothraki Bloodrider #2,/character/ch0542918/,Junade Khan,/name/nm2999602/,,,,,,,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drennan,/character/ch0305030/,David Coakley,/name/nm2231505/,,,,,,,Osha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drogon,,,,Targaryen,,,,Rhaegal,Viserion,,,,,Pyat Pree,Kraznys mo Nakloz,,,,,,,,,,,,Zalla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daenerys Targaryen,,,,,,,,,,,,,,,,,,,,,
Drowned Priest,/character/ch0411375/,Jonathan Ryan,/name/nm0752638/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BOGEwMjRhYzgtYjY1YS00MjhlLTllYjYtNWQzOGQxOTE3ZDczXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGEwMjRhYzgtYjY1YS00MjhlLTllYjYtNWQzOGQxOTE3ZDczXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddard Stark,/character/ch0154681/,Sean Bean,/name/nm0000293/,Stark,,Rickard Stark,,Brandon Stark,Benjen Stark,Ilyn Payne,https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1_SY1000_CR0,0,827,1000_AL_.jpg",Ned,Arthur Dayne,Will,,,Robb Stark,Sansa Stark,Arya Stark,Catelyn Stark,,,,Lyanna Stark,,Lady,Gerold Hightower,,,,,,,,,,,Jon Arryn,,,,,,,,,,,,,,Bran Stark,Rickon Stark,,,,,,,,,,,,Jon Snow,Howland Reed,Robert Baratheon,,,,,,,,,,,,,,,,,,,
Eddison Tollett,/character/ch0305008/,Ben Crompton,/name/nm0174005/,,,,,,,Wight,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmure Tully,/character/ch0316931/,Tobias Menzies,/name/nm0580014/,Tully,,,,Catelyn Stark,Lysa Arryn,,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,Roslin Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellaria Sand,/character/ch0309687/,Indira Varma,/name/nm0890055/,Martell,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,Myrcella Baratheon,Doran Martell,,,Tyene Sand,,,Oberyn Martell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Martell,,,,Martell,true,,,Doran Martell,Oberyn Martell,Gregor Clegane,,,,,,,,Rhaenys Targaryen,Aegon Targaryen,,Rhaegar Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eon Hunter,/character/ch0305321/,Barrington Cullen,/name/nm4473207/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euron Greyjoy,/character/ch0518715/,Pilou Asbæk,/name/nm1561982/,Greyjoy,,,,Balon Greyjoy,Aeron Greyjoy,Jaime Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,Balon Greyjoy,Obara Sand,,,,,,,,,,,,Nymeria Sand,Rhaegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faceless Man,/character/ch0259179/,Cedric Henderson,/name/nm2406775/,,,,,,,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4ODYxODI0MF5BMl5BanBnXkFtZTgwMDk4NDY0NTE@._V1_UX214_CR0,0,214,317_AL_.jpg","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4ODYxODI0MF5BMl5BanBnXkFtZTgwMDk4NDY0NTE@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farlen,/character/ch0305027/,Peter Ballance,/name/nm0050520/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gared,/character/ch0171395/,Dermot Keaney,/name/nm0443825/,,,,,,,White Walker,https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatins,/character/ch0523969/,Ricky Champ,/name/nm2307468/,,,,,,,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwZmJkNDktZWMwMC00ZGNlLWJkNWYtN2ZmOWEzNDFiNWMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwZmJkNDktZWMwMC00ZGNlLWJkNWYtN2ZmOWEzNDFiNWMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SX1777_CR0,0,1777,999_AL_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gendry,/character/ch0300040/,Joe Dempsie,/name/nm1478079/,Baratheon,,Robert Baratheon,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzYwMTk4MV5BMl5BanBnXkFtZTcwNDg1ODg4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzYwMTk4MV5BMl5BanBnXkFtZTcwNDg1ODg4OQ@@._V1_SY1000_CR0,0,846,1000_AL_.jpg",,Kevin Eldon,Laurence Spellman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerold Hightower,/character/ch0540530/,Eddie Eyre,/name/nm6793798/,,,,,,,Eddard Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BODc3OTIzYmEtYjk2Yy00NTgwLTk4OWMtMjlmMmJmNDE5OGU2XkEyXkFqcGdeQXVyNjU5MTM2ODI@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODc3OTIzYmEtYjk2Yy00NTgwLTk4OWMtMjlmMmJmNDE5OGU2XkEyXkFqcGdeQXVyNjU5MTM2ODI@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost,,,,Stark,,,,Grey Wind,Lady,,,,,Rast,,,,,,,,,,,Nymeria,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Snow,,,Shaggydog,,,,,,,,,,,,,,,,,,
Gilly,/character/ch0306819/,Hannah Murray,/name/nm2356940/,,,Craster,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTQxMTA3MF5BMl5BanBnXkFtZTcwODM5NDk4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTQxMTA3MF5BMl5BanBnXkFtZTcwODM5NDk4OQ@@._V1_SY1000_CR0,0,760,1000_AL_.jpg",,,,,,Baby Sam,,,Samwell Tarly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldcloak,/character/ch0305037/,Alan Paris,/name/nm3354768/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldcloak,/character/ch0305037/,Sam Callis,/name/nm0130538/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldcloak #1,/character/ch0305037/,Nikovich Sammut,/name/nm2089809/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldcloak #2,/character/ch0305037/,Seamus Kelly,/name/nm4440118/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Maester Pycelle,/character/ch0232836/,Julian Glover,/name/nm0002103/,,,,,,,Little Birds,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNDA4MzQ3MF5BMl5BanBnXkFtZTcwNTM3ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNDA4MzQ3MF5BMl5BanBnXkFtZTcwNTM3ODg4OQ@@._V1_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Master #1,/character/ch0525536/,,,,,,,,,Rebel Slaves,,,,,,,,,,,,,,Viserion,,,,,,,,,,,,,,,,Emilio Doorgasingh,/name/nm0233266/,4,Gianpiero Cognoli,/name/nm2483357/,5,,,,,,,,,,,,,,,,,,,,,,,,,Rhaegal,,,,,,,,,,,,,,,,,
Great Master #2,/character/ch0525536/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derek Horsham,/name/nm2471942/,4,Bobby Asghar,/name/nm6800489/,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Master #3,/character/ch0525536/,Peter Silverleaf,/name/nm0798872/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Master #4,/character/ch0525536/,Davor Jozinovic,/name/nm7318132/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Master #5,/character/ch0525536/,Ivan Peric,/name/nm3005802/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Master #6,/character/ch0525536/,Hadi Kermani,/name/nm7318134/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Master #7,/character/ch0525536/,Tonci Banov,/name/nm7318135/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greatjon Umber,/character/ch0305010/,Clive Mantle,/name/nm0544139/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,Smalljon Umber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregor Clegane,/character/ch0245401/,,,,,,,,,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1_.jpg,The Mountain,Elia Martell,Rhaenys Targaryen,,,,,,,Tywin Lannister,,,,,Aegon Targaryen,Hugh of the Vale,Oberyn Martell,King's Landing Boaster,Faith Militant,Missandei,Qyburn,,,,,,,Ian Whyte,/name/nm1613839/,2,Conan Stevens,/name/nm1947403/,1,,,,Cersei Lannister,,,,,,,,,,,,,,,,,,,,,,Hafþór Júlíus Björnsson,/name/nm5491087/,4,5,6,7,8,,,,,,,,,,
Greizhen mo Ullhor,/character/ch0396531/,Cliff Barry,/name/nm0057965/,,,,,,,Unsullied,https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SY1000_SX1500_AL_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
