Index,Release Date,Season,Episode,Episode Title,Name,gender,class,house,Sentence,
23774,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,And you will find thousands of Unsullied who believe that it is.,2
23781,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,We do not need payment. We need justice. Jon Snow cannot go free.,2
23783,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,You are not here to speak! Everyone has heard enough words from you.,2
23787,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,"Make your choice, then.",2
23829,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,You cannot.,2
23831,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,This man is a criminal. He deserves justice.,2
23833,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,It is not enough.,2
23845,5/19/2019,Season 8,Episode 6,The Iron Throne,grey worm,male,common,none,Good. We sail for the isle of Naath.,2
3366,4/1/2012,Season 2,Episode 1,The North Remembers,group,none,none,none,For the night is dark and full of terrors.,1
744,5/1/2011,Season 1,Episode 3,Lord Snow,guard,male,common,none,"Welcome to King's Landing, Lady Stark. Would you mind following us?",1
746,5/1/2011,Season 1,Episode 3,Lord Snow,guard,male,common,none,We've been instructed to escort you into the city.,1
748,5/1/2011,Season 1,Episode 3,Lord Snow,guard,male,common,none,"Follow me, Lady Stark.",1
1583,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,guard,male,common,none,Off with you. No begging.,1
1585,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,guard,male,common,none,D'you want a smack on your ear to help you with your hearing?,1
1587,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,guard,male,common,none,"I want to fuck the Queen, for all the good it does me.",1
1588,5/15/2011,Season 1,Episode 5,The Wolf and the Lion,guard,male,common,none,"You want your father, boy? He's lying on the floor of some tavern, getting pissed on by his friends.",1
4308,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,It's got to be the Mountain. He's the biggest. He's the strongest.,1
4310,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,"If the bull had fangs and claws, I would. Right, the Mountain or our man Jaime.",1
4312,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,Loras Tyrell?,1
4314,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,I don't care about pretty. He's better with a sword than any of them.,1
4317,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,They get spooked by their own shadows.,1
4319,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,No.,1
4321,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,"Oh. Oh, you're a right little prick. You should see your face.",1
4323,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,There is something out there.,1
4325,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,Rennick.,1
4327,4/22/2012,Season 2,Episode 4,Garden of Bones,guard,male,common,none,Rennick!,1
5217,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Lord Petyr Baelish.,1
5306,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,"Yes, my lord. Come, quickly.",1
5310,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Hold on!,1
5311,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Hold them back!,1
5314,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Pull back!,1
5319,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Through the door.,1
5320,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Come on.,1
5321,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Push hard.,1
5323,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Get back!,1
5324,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Fall back! Keep him safe!,1
5325,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Come in! Come in!,1
5328,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,Watch out. Hold them back.,1
5532,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,And where are you going?,1
5534,5/6/2012,Season 2,Episode 6,The Old Gods and the New,guard,male,common,none,What?,1
5818,5/13/2012,Season 2,Episode 7,A Man Without Honor,guard,male,common,none,Shh!,1
5946,5/13/2012,Season 2,Episode 7,A Man Without Honor,guard,male,common,none,"My lady, our orders-",1
6087,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,guard,male,common,none,You've got some questions to answer.,1
6095,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,guard,male,common,none,"Come on, time to kill some wolves.",1
7354,3/31/2013,Season 3,Episode 1,Valar Dohaeris,guard,male,common,none,Come on.,1
7358,3/31/2013,Season 3,Episode 1,Valar Dohaeris,guard,male,common,none,Guard,1
7359,3/31/2013,Season 3,Episode 1,Valar Dohaeris,guard,male,common,none,Guard #2,1
7361,3/31/2013,Season 3,Episode 1,Valar Dohaeris,guard,male,common,none,"It's Lady Margaery, Your Grace.",1
7368,3/31/2013,Season 3,Episode 1,Valar Dohaeris,guard,male,common,none,"Would you like to speak with her, Your Grace?",1
7559,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",guard,male,common,none,"Ser Loras Tyrell, my lady.",1
7770,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",guard,male,common,none,"Lady Tyrell, my king.",1
10622,6/9/2013,Season 3,Episode 10,Mhysa,guard,male,common,none,Horse approaching! Halt! Halt!,1
12846,5/11/2014,Season 4,Episode 6,The Laws of Gods and Men,guard,male,common,none,Clear the court!,1
12938,5/18/2014,Season 4,Episode 7,Mockingbird,guard,male,common,none,"Go on, move it.",1
12939,5/18/2014,Season 4,Episode 7,Mockingbird,guard,male,common,none,And you. Come on.,1
13346,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,guard,male,common,none,to Theon* No closer. Who are you?,1
13511,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,guard,male,common,none,Who would pass the Bloody Gate?,1
13513,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,guard,male,common,none,Then I offer my condolences. Lady Arryn died. Three days ago.,1
14460,4/19/2015,Season 5,Episode 2,The House of Black and White,guard,male,common,none,That's far enough.,1
14485,4/19/2015,Season 5,Episode 2,The House of Black and White,guard,male,common,none,After her!,1
19465,6/12/2016,Season 6,Episode 8,No One,guard,male,common,none,"Aye, ser!",1
19480,6/12/2016,Season 6,Episode 8,No One,guard,male,common,none,"We found the Blackfish, my lord.",1
19482,6/12/2016,Season 6,Episode 8,No One,guard,male,common,none,"He died fighting, my lord.",1
20866,7/30/2017,Season 7,Episode 3,The Queen’s Justice,guard,male,common,none,"Lady Sansa, at the gate.",1
21361,8/6/2017,Season 7,Episode 4,The Spoils Of War,guard,male,common,none,Your people can't fight.,1
21471,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,"This man says he is your friend, Khaleesi.",1
21671,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,You there.,1
21673,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Is that your boat?,1
21676,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,The docks are that way.,1
21679,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Are you joking?,1
21680,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,You must be even older than you look. 15.,1
21682,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Apiece.,1
21686,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,What's in the boat?,1
21689,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Wine?,1
21690,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Mmm.,1
21691,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,I like wine.,1
21692,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Or hams.,1
21695,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,What?,1
21699,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,"Oi, Dwarf!",1
21702,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,That dwarf --,1
21703,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Where did you get that scar?,1
21705,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,We was looking for a dwarf with a scar like that awhile back.,1
21708,8/13/2017,Season 7,Episode 5,Eastwatch,guard,male,common,none,Arrangement? You gonna arrange to pay us more than Queen Cersei?,1
23438,5/12/2019,Season 8,Episode 5,The Bells,guard,male,common,none,Let them pass.,1
23439,5/12/2019,Season 8,Episode 5,The Bells,guard,male,common,none,Through the gate.,1
23440,5/12/2019,Season 8,Episode 5,The Bells,guard,male,common,none,Get going.,1
19451,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,Who goes there?,2
19454,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,He's the Lord of Riverrun. I have to obey his commands.,2
19456,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,"He's my lord, my lord. I've sworn to serve the Lord of Riverrun and obey his commands.",2
19459,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,My lord has given an order.,2
19461,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,Lower the drawbridge and open the gate for Lord Ed- -,2
19463,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,"You are not lord of this castle, my lord.",2
19464,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,Lower the drawbridge!,2
19467,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,"Welcome home, my lord.",2
19469,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,My lord- -,2
19472,6/12/2016,Season 6,Episode 8,No One,guard captain,male,common,none,Find him.,2
11888,4/20/2014,Season 4,Episode 3,Breaker of Chains,guymon,male,common,none,What's she got boiling? Wait. Wait. Let me guess.,1
11890,4/20/2014,Season 4,Episode 3,Breaker of Chains,guymon,male,common,none,"Potatoes. Well, no one boils a potato better than your mom. Has she got...",1
5782,5/13/2012,Season 2,Episode 7,A Man Without Honor,handmaiden,female,common,none,To tell Her Grace.,1
17213,4/24/2015,Season 6,Episode 1,The Red Woman,handmaiden,female,common,none,"Your Grace, I'm sorry to disturb you A ship from Dorne has sailed into the harbor",1
19938,6/26/2016,Season 6,Episode 10,The Winds of Winter,handmaiden,female,common,none,"No, my lord.",1
19941,6/26/2016,Season 6,Episode 10,The Winds of Winter,handmaiden,female,common,none,"They're here, my lord.",1
19943,6/26/2016,Season 6,Episode 10,The Winds of Winter,handmaiden,female,common,none,"But they're already here, my lord.",1
19944,6/26/2016,Season 6,Episode 10,The Winds of Winter,handmaiden,female,common,none,"Here, my lord.",1
19945,6/26/2016,Season 6,Episode 10,The Winds of Winter,handmaiden,female,common,none,They weren't easy to carve. Especially Black Walder.,1
14769,4/19/2015,Season 5,Episode 2,The House of Black and White,harpy,male,common,none,"She doesn't belong here. And no matter how many of your traitors call her ""Mhysa"", she will never be your mother.",1
22295,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,"Load up. Load up, lads. Go on. Tide's coming in.",1
22297,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,Your sister--,1
22299,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,"She's dead. Even if Euron hasn't cut her throat yet, she's dead.",1
22301,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,She's your sister,1
22303,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,"So, why in fuck's name should we listen to you? They say the dead can't swim. We're going to sail east, find a nice, quiet island, kill all the men, and take their wives for ourselves.",1
22305,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,Who says we are?,1
22307,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,"Run away, little Theon. It's what you do best.",1
22312,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,Stay down or I'll kill you!,1
22313,8/27/2017,Season 7,Episode 7,The Dragon and the Wolf,harrag,male,common,none,I said stay down or I'll kill you!,1
22531,4/14/2019,Season 8,Episode 1,Winterfell,harry,male,common,none,"Yes, Your Grace. A few died in transit.",1
22534,4/14/2019,Season 8,Episode 1,Winterfell,harry,male,common,none,Two thousand.,1
22536,4/14/2019,Season 8,Episode 1,Winterfell,harry,male,common,none,"Uh, no elephants, Your Grace.",1
22538,4/14/2019,Season 8,Episode 1,Winterfell,harry,male,common,none,"They are excellent beasts, Your Grace, but not well-suited to long sea voyages.",1
22540,4/14/2019,Season 8,Episode 1,Winterfell,harry,male,common,none,"We look forward to fighting on your behalf, Your Grace.",1
4911,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,"Take care, my lord.",1
4913,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,"Oh, I have not conducted this experiment. It could well be true. The substance burns so hot, it melts wood, stone, even steel, and, of course, flesh. The substance burns so hot, it melts flesh like tallow.",1
4914,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,"After the dragons died, wildfire was the key to the Targaryen power.",1
4917,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,Our order does not deal in pig shit. The substance is fire given form. And we have been perfecting it since the days of Maegor.,1
4919,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,The jars are put in catapults and flung at the enemy.,1
4922,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,"My lord, this man is insulting.",1
4925,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,He would not dare insult my order whilst Aerys Targaryen lived.,1
4927,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,haylene,male,cleric,none,"We have been working tirelessly, day and night, ever since your royal sister commanded us to do so. Our present count stands at 7,811. Enough to burn Stannis Baratheon's fleet and armies both.",1
16795,6/7/2015,Season 5,Episode 9,The Dance of Dragons,head prostitute,female,common,none,Brea.,2
16796,6/7/2015,Season 5,Episode 9,The Dance of Dragons,head prostitute,female,common,none,"I have just the one. Anara our most expensive girl, but well worth it, I assure you.",2
16798,6/7/2015,Season 5,Episode 9,The Dance of Dragons,head prostitute,female,common,none,Of course. Of course.,2
16802,6/7/2015,Season 5,Episode 9,The Dance of Dragons,head prostitute,female,common,none,Who let this girl in? Shoo shoo!,2
16806,6/7/2015,Season 5,Episode 9,The Dance of Dragons,head prostitute,female,common,none,Of course.,2
16807,6/7/2015,Season 5,Episode 9,The Dance of Dragons,head prostitute,female,common,none,"I'll have you whipped, girl! Go on!",2
5287,5/6/2012,Season 2,Episode 6,The Old Gods and the New,high septon,male,cleric,none,May the Seven guide the princess on her journey. May the Mother give her health. May the crone give her wisdom. May the warrior give her courage.,2
6970,6/3/2012,Season 2,Episode 10,Valar Morghulis,high septon,male,cleric,none,"In the sight of the Seven, I hereby seal these two souls, binding them as one for eternity. Look upon one another and say the words.",2
9807,5/19/2013,Season 3,Episode 8,Second Sons,high septon,male,cleric,none,You may now cloak the bride and bring her under your protection.,2
9810,5/19/2013,Season 3,Episode 8,Second Sons,high septon,male,cleric,none,"Your Grace, Your Grace, my lords, my ladies, we stand here in the sight of gods and men to witness the union of man and wife. One flesh, one heart, one soul, now and forever.",2
10160,6/2/2013,Season 3,Episode 9,The Rains of Castamere,high septon,male,cleric,none,You may now cloak the bride and bring her under your protection.,2
10161,6/2/2013,Season 3,Episode 9,The Rains of Castamere,high septon,male,cleric,none,"In the sight of the Seven, I hereby seal these two souls, binding them as one for eternity. Look upon each other and say the words.",2
11367,4/13/2014,Season 4,Episode 2,The Lion and the Rose,high septon,male,cleric,none,"Let it be known that Margaery of House Tyrell and Joffrey of the Houses Lannister and Baratheon are one heart, one flesh, one soul. Cursed be he who would seek to tear them asunder.",2
11607,4/20/2014,Season 4,Episode 3,Breaker of Chains,high septon,male,cleric,none,"Yes, my lord. All of you.",2
12232,5/4/2014,Season 4,Episode 5,First of His Name,high septon,male,cleric,none,"May the Warrior grant him courage and protect him in these perilous times. May the Smith grant him strength that he might bear this heavy burden. And may the Crone, she that knows the fate of all men, show him the path he must walk and guide him through the dark places that lie ahead. In the light of the Seven, I now proclaim Tommen of the House Baratheon First of His Name. King of the Andals and the First Men and Lord of the Seven Kingdoms. Long may he reign!",2
12234,5/4/2014,Season 4,Episode 5,First of His Name,high septon,male,cleric,none,Special day.,2
15007,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"Thank you, Father.",2
15009,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,The Maiden.,2
15011,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,And the Stranger.,2
15013,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"Yes, yes.",2
15016,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,I am the High Septon of the -,2
15023,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"Your Grace, , Grandmaester, Lord Tyrell, , uh…",2
15025,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"As the High Septon of the Faith of the Seven I give voice to the will of the Gods and am their foremost servant in this world. An insult to me is an insult to the Gods. An assault on my person, is an assault on our very religion.",2
15027,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"I was, by those fanatics who call themselves ‘sparrows'. They humiliated me, they they beat me, they left me naked and bleeding on the cobblestones. I am lucky to be alive.",2
15030,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"I tend to both the highest born, and the lowliest amongst us. Even prostitutes may earn the mercy of the Mother.",2
15034,4/26/2015,Season 5,Episode 3,High Sparrow,high septon,male,cleric,none,"Justice! I ask that you protect our Faith by arresting these criminals and throwing them in the black cells. I ask that you execute their leader, this so-called High Sparrow. He's a threat to everything we hold sacred. If he goes unpunished -",2
15043,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,"High Sparrow? Sounds ridiculous, doesn't it? Like Lord Duckling, or King Turtle. . So, it's meant to. We're often stuck with the names our enemies give to us. . The notion that we are all equal in the eyes of Seven doesn't sit well with some, so they belittle me.",2
15045,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,"Seven blessings to you, my dear. It's only a name, quite an easy burden to wear. Far easier than hers. .",2
15047,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,Because I gave them away to someone who needed them more. We all do that. It stops us from forgetting what we really are.,2
15049,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,"Everyone? I have a hard enough job reminding myself. Oh, I tell them no one's special. And they think I'm special for telling them so.",2
15051,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,"It would be comforting to believe that, wouldn't it? The Gods sent you here to tempt me? I hope not. I had assumed you'd only come here to arrest me. For that incident with the High Septon.",2
15053,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,"Hypocrisy is a boil. Lancing a is never pleasant. Although, they could have been more careful with the blade.",2
15055,4/26/2015,Season 5,Episode 3,High Sparrow,high sparrow,male,cleric,none,I wouldn't presume to know your thoughts on the matter.,2
15190,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,No. .,2
15192,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,"I could say that our minds are temples to the Seven and should be kept pure. But the truth is, , I don't like the taste.",2
15194,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,How may I serve?,2
15196,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,"Wars teach people to obey the sword, not the Gods.",2
15198,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,"Well, the Faith Militant was disarmed more than two centuries ago.",2
15200,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,An army that defends the bodies and souls of the common people.,2
15202,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,"An honor I never expected. Or indeed, ever wished for.",2
15204,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,All sinners are equal before the Gods.,2
15206,5/3/2015,Season 5,Episode 4,Sons of the Harpy,high sparrow,male,cleric,none,May the Father judge him justly. .,2
15967,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,You are aware of the rumors concerning you and Renly?,2
15969,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,"You were said to be despondent when he died. Witnesses said that you refused to leave his bedside, even as Stannis' army closed in",2
15971,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,"Wasn't Joffrey your king? He was anointed by the 7, not Renly.",2
15973,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Wearing Renly's armor.,2
15975,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,"Do you deny all of the charges against you? Fornication, buggery, blasphemy.",2
15977,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,You never lay with Renly Baratheon.,2
15979,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Nor any other man.,2
15980,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,That will be all Ser Loras.,2
15982,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Faith calls Queen Margaery forward.,2
15984,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Yes. We have some questions for you.,2
15986,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,"You are. And according to Law of the Seven, neither kings nor queens are exempt from testimony at a holy inquest.",2
15987,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,How do you respond to these charges against your brother?,2
15989,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,All of them?,2
15991,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,"Queen Margaery, in the presence of the gods, do you swear that your brother is innocent of these charges against him, to the best of your knowledge?",2
15993,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,"Thank you, your grace.",2
15994,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Do you know this man?,2
15996,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,How did you come to meet?,2
15998,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,And what occurred in his chamber?,2
16000,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,You laid with him?,2
16003,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Is there anyone else who can support your claim?,2
16009,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,The Faith is satisfied that there is enough evidence to bring a formal trial for Ser Loras... and Queen Margaery.,2
16011,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",high sparrow,male,cleric,none,Bearing false witness before the gods is as grave a sin as any. Take her.,2
16221,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"It's not as good a name as Queen of Thorns, I'll admit.",2
16223,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,You should have the decency to kneel before the gods,2
16225,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"For me, it's the knees. You?",2
16227,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Huh.,2
16229,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,The people always do the dirty work.,2
16231,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,A useful talent.,2
16233,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"Your grandson and granddaughter swore sacred vows and lied. The Father judges us all. Sons of high lords, sons of fishermen. If you break his laws you will be punished.",2
16235,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"You don't give commands here, Lady Olenna.",2
16238,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"I imagine this is strange for you. Everyone you meet has a hidden motive, and you pride yourself on slitting in and out. But I'm telling you a simple truth",2
16240,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,By the holy text. The seven pointed star. If you don't have one in your library I'll give you my own.,2
16242,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Then you'll remember the passages concerning buggery and perjury. Your grandchildren will be punished in the same manner as anyone who breaks the sacred laws.,2
16244,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Yes. The Gods' laws must be applied to all equally.,2
16246,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"Have you ever served the field, Lady Olenna? Have you ever reaped the grain? Has anyone in House Tyrell? A lifetime of wealth and power has left you blind in one eye. You are the few. We are the many. And when the many stop fearing the few…",2
16350,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Thank you. You saw her?,2
16352,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,And?,2
16354,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Well she and her brother are both being held under fair suspicion. A trial will be held for each of them to determine if they are guilty of any acts that might constitute a violation of the tenants of the faith.,2
16356,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Seven septons. As it was in all trials before the Targaryens.,2
16358,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,I will.,2
16360,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Then they will be at The Mother's mercy.,2
16362,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"It depends on the situation. The acts themselves, the degree of contrition.",2
16364,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Did you know this chapel is one of the oldest structures in King's Landing?,2
16366,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Baelor built his sept around it. But men worshipped here long before him.,2
16367,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,Who carved this altar do you know?,2
16369,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,No one does. There's no name on it. Or anywhere else in the chapel. The people who built this place didn't inflict their vanity on the people who came after them. The way Baelor did with that great gilded monstrosity out there. Their faith was clean.,2
16370,5/24/2015,Season 5,Episode 7,The Gift,high sparrow,male,cleric,none,"A young man came to us not long ago, broken in body and spirit. He had so much to strip away, so much weighing him down. But piece by piece he unburdened himself. Let go of vanity, pride, sin, now his soul is so light he will float through the Seven Heaves like a bird.",2
