net_user,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,adopter,tenure,country
daviden,30,1,4,30.5,1,2,0,11121,61,0,1,1,0,75,0
fenakan,23,1,3,23,0.333333333,1,0,17479,17,0,1,6,0,75,0
windowlickerr,32,0,2,31.5,1,2,0,4834,0,0,0,0,0,75,0
pixie_claire,22,0,2,26,1,1,0,134,1,0,0,1,0,75,1
gehacktes,32,1,2,24,1,2,0,873,11,0,0,0,0,75,1
tractopelle,18,0,2,24,0.5,1,0,4897,0,0,0,2,0,74,0
koregirl,23,0,2,21,0.5,1,0,1314,0,1,0,2,0,74,0
postboostphase,23,0,3,22.5,0.666666667,1,0,528,0,0,0,0,0,74,1
brieeyeball,22,1,2,21,1,1,0,548,0,0,0,1,0,74,1
plotzki,32,1,4,31,0.5,2,0,98,0,0,0,0,0,73,0
danielctc,24,1,5,26.5,0.5,3,0,12454,0,2,0,7,0,73,1
megnificent,20,0,4,23.75,0.5,2,0,19088,140,2,1,3,0,73,1
neronn,24,1,4,23.25,0.5,1,0,14282,9,2,0,2,0,73,0
clinic,25,0,5,26.75,0.666666667,1,0,14304,55,0,1,6,0,73,0
lattequeen13,21,0,4,22.25,0.75,2,0,1275,0,0,0,1,0,73,1
wilkinscs1,21,1,3,23,1,2,0,5340,0,16,0,3,0,73,1
breesrad,20,0,2,21.5,1,1,0,3885,0,0,0,0,0,73,1
heartflare,25,1,2,24,0.5,1,1,509,0,0,0,2,0,72,0
gusterman15,24,1,2,23,0.5,1,0,9656,0,0,0,0,0,72,1
languidnights,27,1,3,29.5,1,2,0,4422,14,2,1,0,0,72,1
brandnewhero,26,1,5,25.25,1,1,0,12558,70,0,0,4,0,72,1
psubuzz,33,1,4,30,0.5,1,0,70485,3,0,1,1,0,71,1
bubblelolita,23,0,10,27.375,0.444444444,3,0,24761,141,2,1,7,0,71,0
san-san-penguin,22,0,3,23,0,1,0,345,0,2,0,6,0,71,1
nooffenc,25,1,3,28,0.5,1,0,1963,0,3,0,1,0,71,1
napalm_glamour,22,0,2,22.5,0.5,1,0,63,5,1,1,2,0,71,1
stimilion77,34,1,7,32.25,0.75,3,0,7856,18,0,1,2,0,71,1
siradus,19,0,3,25.5,1,2,1,798,18,0,0,0,0,71,0
mc-johnyoung,19,1,3,19.5,0.5,1,0,8566,9,0,1,3,0,70,0
neurone214,30,1,4,31.5,0,2,0,14994,0,0,0,10,0,70,1
desperad088,24,1,2,22.5,0,1,1,5499,0,2,0,0,0,70,0
piersharmonic,22,1,2,20.5,0,1,0,3422,6,62,0,0,0,70,1
mangosoczyste,30,1,4,25.5,0.333333333,2,0,3815,0,0,0,2,0,70,0
lushhh,21,0,3,23,0.5,1,0,418,0,0,0,0,0,70,1
prettypursley,25,1,3,24,1,1,0,10168,0,0,0,0,0,70,1
skittlekitton,22,0,2,23,1,2,0,9775,0,0,0,2,0,70,1
laxersaz,33,1,2,39,0.5,1,0,523,36,0,0,0,0,69,1
minimoe987,18,0,3,21,0.333333333,1,0,8742,0,3,0,1,0,69,1
fecknawesommatt,25,1,2,27,0.5,2,0,10363,0,3,0,8,0,69,1
shkoorah,36,1,6,35,1,1,1,15406,1,2,0,0,0,69,0
romeoagogo21389,22,1,4,25.5,1,1,0,1067,0,0,0,0,0,69,1
vix11,21,0,2,21.5,1,1,0,0,0,0,0,4,0,69,1
stormfury,26,1,2,26,0,1,1,1081,1,0,0,0,0,68,0
revenan7,20,1,2,20.5,0.5,1,0,5790,26,6,0,14,0,68,0
kafkafxer,28,1,4,27,0.666666667,4,0,1357,0,0,0,3,0,68,0
imjulie,25,0,4,24.75,0.75,2,0,2178,0,0,1,0,0,68,0
darktrpr,29,1,2,26.5,1,1,0,235,18,0,1,4,0,68,0
lupercus666,37,1,3,33.5,0.5,2,0,648,246,5,1,3,0,67,1
missy_b_p,28,0,2,27,0.5,1,0,4848,0,0,0,1,0,67,1
leahjeanbean,20,0,4,20.5,0.5,1,0,17906,30,0,1,7,0,67,1
antamosia,20,0,4,27.75,0.75,3,0,7061,53,0,1,6,0,67,0
roxursox088,20,0,5,26.5,0.75,2,0,5930,3,0,1,9,0,67,1
killer22,27,1,3,30.5,1,1,0,6414,9,0,0,2,0,67,1
unxcepted,26,1,2,29,1,1,0,657,0,0,0,0,0,67,0
sssstephen,24,1,3,23,1,1,0,1334,0,0,0,0,0,67,1
hoklun,23,1,3,27.5,1,3,0,10710,80,4,0,1,0,66,0
thejakeness,25,1,4,18,0.25,1,0,49495,1,0,1,0,0,66,1
whitecheddar,24,1,2,22,0.5,1,0,1302,0,0,0,0,0,66,1
jay-leigh,22,0,2,22,0.5,2,0,1285,0,0,0,0,0,66,0
jidash,26,1,2,21,0.5,1,0,568,34,0,0,0,0,66,1
thyhypocrisy,21,1,2,21,0.5,1,0,94,0,0,0,4,0,66,1
madicide,23,0,5,31,0.75,3,0,2682,48,0,1,2,0,66,1
kaydee28,20,1,2,21.5,1,2,0,126,1,0,0,0,0,66,1
sydney77,22,1,2,21,1,2,0,23474,0,0,0,10,0,66,0
umrutty,29,1,2,31.5,0.5,1,1,4434,7,0,1,1,0,65,1
firmhandshakes,21,0,2,25.5,0.5,1,0,6303,35,2,0,1,0,65,1
toxify,22,1,2,22.5,0.5,1,0,1710,48,0,0,1,0,65,1
meski,24,1,2,23,1,1,0,22862,85,2,0,4,0,65,1
urbanchaos25,21,1,2,21.5,1,1,0,105,0,0,0,0,0,65,1
mostrilla,35,0,4,30.5,1,2,0,20010,185,0,0,7,0,64,0
emma_a,22,0,2,22,0,1,0,18,3,2,0,1,0,64,0
ayucow,42,1,3,43.5,0.5,1,0,1362,4,0,0,1,0,64,0
christhrowdown,20,1,5,22.25,0.6,1,0,1021,0,0,0,3,0,64,1
sascha1984,27,1,4,26,0.75,1,0,402,0,0,0,1,0,64,1
darkanna,39,0,3,37.5,1,2,0,1094,5,0,1,0,0,64,0
aneeeq,25,1,2,28.5,1,1,0,169,0,0,0,0,0,64,0
nugent44,32,1,2,21.5,1,2,0,6940,173,0,1,2,0,64,1
treedefiesfire,28,1,4,22,0.666666667,3,0,16162,28,0,0,2,1,63,0
marisuhh,20,0,3,20,0.5,1,0,10914,3,0,1,3,0,63,1
manyreddevils,23,1,3,23,0,1,1,4465,5,0,0,11,0,63,1
lesleaterkill,22,0,2,20,0,2,0,110,64,0,0,2,0,63,1
cartoonkenni,24,1,8,24.66666667,0.333333333,2,0,6330,0,0,0,1,0,63,1
babyeesh,21,0,2,22,0.5,2,0,1869,0,0,1,8,0,63,1
jirva,30,1,4,29,1,2,0,6331,0,0,1,3,0,63,0
chmieloman,24,1,3,25.5,1,1,0,2599,0,0,0,0,0,63,0
sweetnos,22,0,2,24,1,1,0,44723,6,0,1,10,0,63,0
mchrk,23,1,2,23.5,1,1,0,9064,0,0,0,0,0,63,0
idjitness,21,0,3,21.5,1,1,0,3230,0,0,0,8,0,63,1
avishnyak,30,1,3,29.5,1,1,0,21470,19,0,1,0,0,62,1
saturdaymak,19,1,9,20.16666667,0.833333333,1,0,58406,0,11,0,334,0,62,0
greatone69n,26,1,2,28.5,0.5,2,0,11858,10,0,0,0,0,62,1
punkiderma,18,1,5,25,0,2,0,18857,95,14,1,2,0,62,0
msj19,48,1,2,23,0,2,0,1433,2,1,1,6,0,62,0
alexbro,19,1,3,21.5,0,1,0,273,0,0,0,3,0,62,0
freakin88,23,1,3,26.5,0.333333333,1,0,96,9,0,1,1,0,62,1
allurette,22,0,3,21.5,0.333333333,1,0,0,0,0,1,1,0,62,1
lexladyluck,25,0,4,25,0.5,3,0,4298,14,7,1,2,0,62,1
sereknh,18,1,6,18.75,0.6,1,0,765,0,2,1,10,0,62,0
lauriced,31,1,4,24.5,0.666666667,3,0,179,8,0,0,1,0,62,0
demol1sher,24,1,6,24.5,0.75,1,0,32641,0,0,1,6,0,62,0
osrek,23,1,3,27,1,1,0,38851,9,0,1,3,0,62,1
davidsvanborg,24,1,4,26,1,1,0,2858,5,0,1,15,0,62,0
lick_myanus,21,1,2,22,0,1,0,5772,0,0,1,6,0,62,0
fabanne,21,0,11,23.5,1,4,0,25301,9,0,1,51,0,61,1
widerange,32,1,10,32,0.166666667,3,0,30937,495,1,1,6,0,61,1
likboer,22,1,4,20,0,2,0,2788,0,0,0,2,0,61,0
magl0x,32,1,5,31.5,0.5,2,0,2716,7,3,1,3,0,61,0
fashionwhore,27,0,5,38.5,0.666666667,2,0,202,18,0,0,2,0,61,1
omshivaprakash,28,1,3,26.5,1,1,1,185,1,0,3,2,0,61,0
liiiinha,21,0,3,24.5,1,1,0,237,0,2,0,3,0,61,0
wesley1120,25,1,2,24,1,1,0,35,0,0,0,1,0,61,0
girlandfiction,22,0,2,23.5,1,1,0,6737,0,0,0,8,0,61,1
dethkloker,22,1,3,22,1,1,0,6606,1,0,0,2,0,61,1
dylanparry,31,1,18,30.5,0.75,3,2,45166,78,0,1,1,1,60,1
shabbadoola,24,1,4,23,1,2,0,24224,62,0,1,7,0,60,0
haas_jr,19,1,5,21,1,1,0,13763,1,0,1,17,0,60,0
guda_dali,27,1,7,19.5,0.333333333,4,0,12285,0,0,0,56,1,60,0
panlukz,23,1,2,25,0,1,0,2643,2,0,1,0,0,60,0
zyzio,32,1,2,30.5,0.5,2,0,190,24,0,0,1,0,60,0
jamiejazz,26,1,2,25.5,0.5,1,0,669,6,0,0,0,0,60,1
danieeeell,22,1,4,23,0.5,2,0,4470,16,5,1,33,0,60,0
xspiderj,31,1,3,27.5,0.666666667,1,0,8613,0,0,0,2,0,60,0
woddanimus,26,1,2,39,1,1,0,2936,20,0,0,3,0,60,0
nathan_jma,32,1,5,24,1,1,0,3032,14,0,1,2,0,60,1
mutalisk,23,1,2,24,1,1,0,1734,1,1,1,0,0,60,0
thesage73,21,1,2,22,0.5,1,1,5585,3,0,1,2,0,60,1
sarahbug,22,0,4,22.5,0.5,1,0,42377,523,0,0,18,0,59,1
chubbyavenger,24,1,3,24.5,1,1,0,8604,13,0,0,1,0,59,0
patperpinya,37,0,8,34.5,0.75,1,0,7470,9,0,1,2,0,59,0
pervertedpandax,22,1,2,22,0,1,0,55,0,0,1,1,0,59,1
4daze,22,0,3,25.5,0.333333333,2,0,2524,44,0,1,9,0,59,0
jack_daniels666,21,1,2,19,0.5,1,0,2270,0,0,0,13,0,59,1
aslavey,22,1,4,22.5,0.75,1,0,412,0,0,0,6,0,59,0
apostropheur,28,1,2,26.5,1,1,0,2631,21,0,1,4,0,59,0
j0hankapper,24,1,2,24,1,1,0,5,0,1,0,1,0,59,0
misiek516,21,0,4,22,1,1,0,70,16,0,1,2,0,59,0
b-minor,29,0,6,33.5,0.666666667,4,0,8079,0,0,0,6,0,58,1
mirrrrrreeek,26,1,8,26.5,0.833333333,1,0,6082,8,3,1,6,0,58,0
mac_lemac,25,1,2,24.5,0,1,0,257,0,0,0,2,1,58,0
muellen,33,1,3,22.5,1,2,0,3713,231,0,0,1,1,58,1
pileofpumpkins,18,0,3,20.5,0,1,0,15785,0,0,0,3,0,58,1
tuuva,30,0,3,28.5,0.333333333,1,0,2951,0,0,0,2,0,58,0
magdapolczynska,27,0,2,25.5,0.5,1,0,5309,4,0,0,1,0,58,0
kylabea,26,0,3,31,0.666666667,1,0,2084,5,0,1,2,0,58,0
boswolox,43,1,2,42.5,1,1,0,68,8,0,0,1,0,58,1
suzysue,45,0,3,40.5,1,2,0,0,0,0,0,3,0,58,1
mellowman11235,21,1,2,21,1,1,0,1469,0,0,0,8,0,58,1
jonnydynamite,30,1,2,31,1,2,0,931,1,0,0,1,0,58,1
olokma,20,0,2,20,0.5,1,0,6010,62,0,1,5,0,57,0
unicornthrash,22,1,2,21.5,1,1,0,2363,37,0,0,1,0,57,1
st_jam,23,1,9,22.5,0.555555556,2,0,39715,40,0,1,3,0,57,0
11degrees,28,1,5,24,0.25,2,0,33131,86,11,1,70,0,57,0
marpee,26,0,4,24.5,0,1,0,6152,17,0,2,5,1,57,0
tsub329,26,0,2,24.5,0,1,0,1837,6,0,0,3,0,57,1
sams322,23,0,2,23,0,2,0,35,3,0,1,1,0,57,1
sweet_shooter5,21,1,2,20.5,0,1,0,3043,34,0,1,6,0,57,1
emmajemma,23,0,2,24.5,0.5,2,0,309,0,0,0,4,0,57,0
mahaffster,24,1,4,24.25,0.5,2,0,5169,0,0,0,3,0,57,1
raxion,24,1,4,22,0.5,2,0,415,2,0,1,3,0,57,0
schockorolli,20,0,2,18.5,0.5,1,0,80,2,0,1,3,0,57,1
brilet,24,0,4,28.5,0.666666667,1,0,451,17,0,0,1,0,57,0
ikarus7,28,1,3,27,0.666666667,2,0,9754,96,0,0,3,0,57,0
mad4marsbars,19,0,4,20.5,0.75,2,0,7975,76,0,1,6,0,57,0
tefis,24,0,3,24.5,1,2,1,199,25,0,1,0,0,57,0
llcools,23,1,3,21,1,1,0,10009,5,0,1,6,0,57,0
poupee_bahhh,20,0,6,20.75,1,1,0,1530,100,0,1,2,0,57,0
anubis839,20,1,2,20,1,1,0,446,0,0,1,0,0,57,1
pmlorenz,34,1,8,36,0.714285714,3,0,4415,29,0,1,11,1,56,1
darioshanghai,31,1,10,42,0.666666667,2,0,2449,35,0,1,1,0,56,0
yureee,24,1,2,23,0,1,0,726,2,0,1,2,0,56,0
churchviolence,21,1,3,20.5,0.5,1,0,22522,5,0,1,2,0,56,0
rockita,27,0,2,29.5,1,1,0,3462,4,0,0,4,0,56,0
dr_bayard,25,1,3,25.5,1,2,0,1491,2,0,0,1,0,56,0
wirehunter86,25,0,2,23.5,1,1,0,151,1,3,1,1,0,56,1
scary78,33,1,2,41,0.5,2,2,17,3,0,1,1,0,56,1
mountweazel,36,1,2,31.5,1,1,0,73430,89,0,1,1,0,55,1
theaumas,31,1,5,26.5,0.25,3,0,36040,137,0,0,2,0,55,1
masterg86,25,1,2,27,1,1,0,26800,0,0,1,6,0,55,1
mayakl,20,0,13,25.25,0.444444444,4,1,5409,34,0,1,6,0,55,1
hakaniemi,34,1,2,29,0.5,1,0,735,138,0,1,1,0,55,0
new2n2006,24,1,2,24,0.5,1,0,195,8,0,1,2,0,55,0
crazy_daimond,26,0,2,23.5,0.5,1,0,128,20,0,1,2,0,55,0
provine,23,1,4,23,0.5,1,0,2542,5,0,1,4,0,55,0
jetdoggy,21,1,5,21,0.8,1,0,12339,0,0,0,5,0,55,1
amancalion,27,1,5,26.5,1,1,0,550,12,0,1,1,0,55,0
weency,24,1,3,26,1,1,0,638,11,0,0,3,0,55,1
koebe,25,1,3,25.5,1,1,0,315,0,0,1,3,0,55,1
thumbsopposed,31,1,6,32.5,1,2,0,57865,79,0,1,1,0,54,1
getreze,33,1,2,30,0.5,2,0,86362,292,0,1,4,0,54,0
forgetxmexnot_,21,0,2,22.5,0,1,0,1267,0,0,1,2,0,54,0
youngpunker,20,1,3,19.5,0,1,0,404,17,3,1,3,0,54,0
joako91,20,1,5,20,0.333333333,3,0,14429,5,1,1,8,0,54,0
catfishbear,29,1,6,28.5,0.4,4,1,5,1,0,0,1,0,54,1
djmikehawk,22,1,2,21.5,0.5,1,0,1277,2,0,0,0,0,54,1
organicc,20,1,2,21,0.5,1,0,615,1,0,1,2,0,54,0
mike7478,32,1,4,26,1,2,2,90,1,0,1,4,0,54,1
uldispie,26,1,4,25.75,0.5,2,2,6656,91,0,0,0,0,53,1
lucascoppio,23,1,2,22.5,0,1,0,7165,1,0,1,2,0,53,0
laishred,22,0,3,22.5,0.333333333,1,0,1735,0,0,1,38,0,53,0
fluffy_sheep,25,0,3,29,0.5,2,0,2380,74,6,1,5,0,53,0
hcpcrunchy,24,1,4,21,0.5,2,0,44600,1,0,0,3,0,53,1
sarcofogo,25,1,6,29,0.666666667,2,0,2458,0,0,1,5,0,53,0
rawtista,20,1,2,21,1,2,0,1193,0,0,0,1,0,53,1
liarussia,21,0,2,19.5,1,1,0,2,0,0,1,6,0,53,1
andrewgwatson,39,1,12,38,0.75,5,1,42801,271,0,0,11,0,52,1
difracajo,50,1,2,40,0.5,2,0,9804,0,0,1,4,0,52,0
ekonig,31,1,5,26,0,4,0,337,0,0,1,4,0,52,0
socalnoelle,34,0,4,31,0.333333333,2,0,3849,63,0,1,1,0,52,1
masonspencer,40,1,2,32,0.5,1,0,457,10,0,1,3,0,52,1
jcchc,24,1,3,24.5,0.5,1,0,540,1,0,0,7,0,52,0
meteora_23,20,1,2,21.5,0.5,1,0,73,2,1,1,1,0,52,0
anguus,18,1,3,19.5,0.5,1,0,161,0,0,1,6,0,52,0
youknowyouknow,38,1,4,33,1,4,0,346,61,0,1,5,0,52,0
surganova,23,0,3,31,1,1,0,1131,48,0,1,2,0,52,0
kikiwitt,20,0,3,24.5,1,1,0,37,0,0,1,1,0,52,0
ferena,18,0,2,19.5,1,2,0,15,0,0,0,2,0,52,1
helllokittty,24,0,3,24.5,0.5,2,0,67426,1,0,0,20,0,51,1
die__schlinge,19,0,2,19.5,1,1,0,1336,1,0,1,2,0,51,0
emarno,25,0,5,22.75,0.333333333,1,0,36543,3,0,0,5,0,51,0
sqrtlsqd,26,1,4,24,0,1,0,175,0,0,0,5,0,51,0
zacstill,21,1,4,23,0,1,0,21374,0,0,0,1,0,51,1
lily-pily,18,0,3,21,0.333333333,2,0,14721,0,0,1,2,0,51,0
mamorum,24,1,3,24.5,0.5,1,0,2914,55,0,0,2,0,51,0
tishreen,26,0,6,24.25,0.666666667,3,0,19156,95,1,1,101,0,51,0
danmand,20,1,4,24.5,0.75,3,0,11609,1,0,0,1,0,51,0
kuzmurzik,27,0,2,28,1,1,0,5517,0,0,1,3,0,51,0
thespongie,23,0,6,26,1,2,0,16844,0,0,1,5,0,51,0
natbueno,21,0,3,26,1,2,0,1612,5,0,1,1,0,51,0
fonzeemusic,24,1,2,26,0.5,1,1,837,0,0,0,4,0,51,0
maya_malinka,26,0,3,24.5,0.5,1,0,24586,0,0,1,0,0,50,0
jurvelin,23,1,3,24,0.333333333,2,0,8203,4,0,1,2,0,50,0
paola_ab,27,0,4,27.75,0.25,1,0,8298,27,0,1,5,0,50,0
traumschoen,20,1,2,27.5,0,1,0,565,5,0,1,2,0,50,1
ragazzomorto666,30,1,2,25.5,0.5,1,0,172,5,0,1,2,0,50,0
paulcstephensen,46,1,5,39.5,0.5,3,2,4320,179,0,1,3,0,50,0
holly_amma,23,0,2,35,1,1,0,1973,23,0,1,2,0,49,1
ender2101,31,1,5,33,0.25,2,1,546,14,0,1,2,0,49,0
claudeyoung,40,1,6,33,0.4,3,1,205,78,0,1,1,0,49,0
viltteri79,32,1,2,32,0.5,2,0,9888,1,0,0,1,0,49,0
adamrussell47,24,1,2,28.5,0.5,1,0,38185,0,0,0,3,0,49,1
imgregconway,17,1,4,20,0.5,3,0,23728,0,0,1,0,0,49,0
tammymclean,23,0,2,17,0.5,1,0,0,0,0,1,2,0,49,1
theshellie,26,0,4,23,0.666666667,3,0,5767,4,0,1,1,0,49,1
zwright,34,1,4,35,1,1,1,745,0,0,0,4,0,49,1
hollyg0lightly,33,0,2,32.5,1,2,0,358,0,0,0,5,0,49,0
betaforever,29,0,2,29.5,1,2,0,230,20,0,1,1,0,49,0
lektronikumuz,29,1,2,27.5,1,1,0,0,1,0,0,1,0,49,0
gnolm,33,1,4,25.5,1,2,1,4948,58,0,1,2,0,49,1
lecheshirecat,22,0,2,25,1,2,0,4082,1,0,0,17,0,49,1
rogerpi,40,1,2,21,1,2,1,11489,356,0,1,4,0,49,0
gerema,20,1,2,25.5,1,1,0,15219,0,0,1,1,0,49,0
barmaley1976,35,1,3,37,1,3,0,28621,115,0,0,0,0,48,0
soulshow,26,0,5,30,0.5,3,0,22386,457,0,1,6,0,48,0
jenisffer,23,0,4,21,0,1,0,17924,25,0,1,2,0,48,0
greatscratcher,25,1,3,24.5,0.333333333,2,0,2191,1,0,1,5,0,48,0
ktulumythos,19,1,3,19.5,0.333333333,1,0,161,0,0,1,1,0,48,0
une_juliet,28,0,2,29,0.5,2,0,4155,11,0,1,2,0,48,0
hitler_is_a_jew,21,1,5,24,0.5,2,0,7045,171,6,1,62,0,48,1
mixalbi4,23,1,2,24,0.5,1,0,599,41,0,1,4,0,48,0
lara_rocket,19,0,3,21,0.5,2,0,8252,0,0,0,5,0,48,0
xxericxo,19,1,2,20,0.5,1,0,2632,3,0,0,4,0,48,1
nicoledelfim,20,0,7,24.16666667,0.857142857,1,0,234,0,0,0,2,0,48,0
kamolc,30,1,3,31,1,1,0,5305,0,0,1,3,0,48,0
chicafrommars,24,0,4,25,1,1,0,7685,0,0,0,4,0,48,1
chocolatetomo,22,0,3,25,1,1,0,2365,0,0,1,14,0,48,0
porcello,26,1,4,23.5,0,2,0,24863,77,0,1,1,0,47,1
christabella76,35,0,4,31.5,1,1,0,2615,0,0,0,2,0,47,0
evercom,35,1,3,25,0,1,0,334,10,0,1,2,0,47,0
kastanienfranzi,23,0,2,23.5,0,2,0,7648,0,0,1,3,0,47,0
vicste,20,0,2,21,0,1,0,195,8,0,1,1,0,47,0
agent_51,19,1,3,19.5,0,2,0,1363,4,0,0,1,0,47,0
scadalen,30,1,2,30.5,0.5,2,0,7715,175,0,1,1,0,47,0
puchuptaka,24,0,2,28,0.5,2,0,572,19,0,1,2,0,47,0
rikkydekikker,44,1,2,39,1,2,0,360,0,0,1,5,0,47,0
judybird,45,0,2,35.5,1,1,0,137,0,0,1,2,0,47,1
anfbabe22,28,0,3,30,1,1,1,1012,48,0,1,1,0,47,1
damage_records,25,1,2,23.5,1,1,0,447,16,0,1,2,0,47,0
chwala,19,1,2,20,1,1,0,67296,19,0,0,1,0,47,0
taki1982,29,1,3,27.5,0.333333333,2,0,8,15,0,1,2,0,47,0
sdimacu,22,1,2,22.5,0.5,1,0,2964,0,0,0,1,0,46,1
evolect,26,1,3,25.5,0.666666667,2,0,16079,119,2,0,6,0,46,1
zelgadis84,27,1,2,23.5,0,1,0,2265,16,0,1,1,0,46,0
corbhata_music,28,1,2,22.5,0,1,0,1576,4,0,1,4,0,46,0
juggalizzle2,19,1,5,19.75,0,5,0,162,34,0,1,1,0,46,1
koje7714,49,1,2,40.5,0.5,2,1,4668,20,0,1,5,0,46,0
zambrinik,41,1,2,32.5,0.5,1,0,413,14,0,1,1,0,46,0
san-e,25,0,2,26,0.5,1,0,7444,0,0,1,2,0,46,0
altav0z,21,1,4,21.75,0.5,1,0,813,31,0,1,15,0,46,0
daisuke_20,24,1,2,21,0.5,1,0,2535,21,0,1,4,0,46,0
shramik69,22,0,2,21,0.5,2,0,510,4,0,1,2,0,46,0
darkhold,34,1,2,30,1,1,0,1768,2,0,1,4,0,46,0
fidanuredi,31,0,7,29.66666667,1,1,0,1858,44,0,1,4,0,46,0
mantigua,22,0,2,25.5,1,1,0,14193,69,0,1,2,0,46,0
freepuppet,24,0,3,24.5,1,1,0,0,0,0,1,1,0,46,0
wojtasemzi,22,1,2,19,1,1,0,338,35,0,1,1,0,46,0
incenso_1980,31,1,3,26.5,0.5,1,1,715,1,0,1,0,0,46,0
brunojanoski,22,1,2,22.5,0,2,0,9442,1,0,1,1,0,45,0
xsynisthesexx,17,0,2,19,0,1,0,0,4,0,1,2,0,45,1
yon_che,28,0,5,24.25,0.2,1,0,2696,2,0,1,3,0,45,0
ediciusnj,31,1,3,32,0.5,1,0,16520,0,0,1,2,0,45,1
nitrostealth,22,1,2,21,0.5,1,0,1469,2,0,1,4,0,45,1
gpinna86,25,0,2,25,1,2,0,0,0,0,1,2,0,45,1
alessionin,30,1,2,24,1,2,0,3166,5,0,1,0,0,45,0
purplesk8s,18,0,2,24,1,2,0,0,0,0,1,2,0,45,1
drajen,35,1,5,34,0.75,1,0,36600,13,14,1,2,0,44,0
martekanutte,31,0,6,31,0.6,1,0,33318,34,0,2,1,0,44,0
vampiremoogle,23,0,3,23,0,1,0,142799,585,0,0,8,0,44,0
fernande5,29,0,3,27,0,2,0,6,0,0,1,2,0,44,0
cicero-nii,19,0,4,21,0,2,0,10133,1,1,1,2,0,44,1
ignicion321,30,0,2,29.5,0.5,1,0,1840,19,0,1,3,0,44,0
damianomen,23,1,2,23.5,0.5,2,0,279,6,0,0,2,0,44,1
art_0f_life,19,1,3,23.5,0.666666667,2,0,2036,21,1,1,20,0,44,0
euarrobameliga,20,0,5,25.25,0.75,1,0,1116,7,2,1,10,0,44,0
tellewar,38,1,3,32.5,1,3,0,451,41,1,0,5,0,44,0
liriaivezaj,24,0,3,26,1,1,0,348,0,0,1,5,0,44,1
shewolf1961,49,0,3,22.5,1,2,0,111,1,0,1,5,0,44,1
withoutnickname,23,1,2,21.5,1,1,0,44,0,0,1,4,0,44,0
calypto1,20,1,10,20.25,0.333333333,3,0,24238,169,1,0,3,0,43,1
christytable,21,0,3,22.5,0.666666667,2,0,10141,3,0,1,2,0,43,1
myrthu,37,1,2,36,0,1,0,7031,33,0,1,1,1,43,1
barigoessteeply,28,1,2,20,0,1,0,2648,1,0,1,9,0,43,1
dinobee,19,0,4,18.5,0.333333333,2,0,7661,0,0,1,2,0,43,1
manumindfreak,29,1,2,26,0.5,1,0,804,0,0,0,1,0,43,0
okdubistcool,19,0,2,20,0.5,1,0,344,2,0,1,1,0,43,1
rubanik_anton,19,1,3,20,0.666666667,1,0,2920,0,0,1,2,0,43,0
slotimaker,29,1,2,28.5,1,1,0,91,2,0,0,1,0,43,1
karlharris,31,1,2,24,1,1,0,86,8,0,0,4,0,43,1
mspeed14,38,1,4,29,0.75,1,0,42216,44,0,0,1,0,42,1
not-andy,16,0,2,16.5,0.5,2,0,1696,22,1,1,2,0,42,0
gnzl,23,1,2,22.5,0,1,0,14215,1,0,1,3,0,42,0
gorlums,44,1,3,39.5,0.333333333,2,0,5654,2,0,0,2,0,42,0
batgirlkerscht,33,0,3,33,0.5,1,0,641,32,0,1,1,0,42,0
mooonleee,28,1,4,28,0.75,1,0,1282,37,0,0,1,0,42,0
enriquemillan,37,1,2,41,1,1,0,5806,292,0,1,2,0,42,0
gtx500,31,1,2,32,1,1,0,167,0,0,1,1,0,42,0
ambar_gris,25,0,3,24.5,1,2,0,4238,26,2,1,4,1,42,0
velvet87,23,0,3,21.5,1,1,0,0,48,0,1,1,0,42,0
heather451,22,0,2,22.5,0,1,0,433,74,0,2,3,0,41,0
andygt,27,1,2,26,0.5,1,0,5363,40,0,1,4,0,41,0
shadowlordd,25,1,2,24.5,0.5,1,0,2962,0,0,0,2,0,41,1
juuuune,21,0,2,20.5,0.5,2,0,14732,0,0,1,3,0,41,0
jetliowns,18,1,4,19,1,1,0,71233,19,0,0,6,0,41,0
personazhe,28,1,4,26.5,0.75,1,1,2807,11,0,1,1,0,41,0
sl1ky,21,1,2,21,0.5,1,0,1629,2,0,0,0,0,40,0
eabha-x,17,0,4,22.5,1,3,0,16208,15,0,1,4,0,40,0
boundbetadecay,26,1,5,25.5,0.5,1,0,1169,2,0,0,6,0,40,1
solbemol,21,0,2,22,0.5,1,0,4350,25,0,1,4,0,40,0
liviy,24,1,2,23,1,1,0,4676,11,0,1,2,1,40,0
faleen,19,0,3,19,0,1,0,1216,16,0,1,4,0,40,0
vsung,19,0,2,18,0,1,0,28559,7,0,0,2,0,40,1
balor616,19,1,10,19.5,0.333333333,3,0,10864,82,0,1,11,0,40,1
my_lynn,16,0,3,18.5,0.333333333,1,0,854,13,0,1,2,0,40,1
syouyuju,20,0,2,28,0.5,2,0,49,4,0,0,1,0,40,0
yugao85,26,0,2,27.5,0.5,1,1,866,3,0,0,1,0,40,0
pietrrex,24,1,4,24.25,0.5,2,0,5860,22,0,0,0,0,40,0
mattsaa,20,1,3,19.5,0.666666667,1,0,21152,3,0,0,4,0,40,0
